epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,887.341,0.96341,0.76157,1.19954,0.60904,0.51829,0.51047,0.26512,2.33865,2.40155,2.69137,0.000459865,0.000459865,0.000459865
150,893.226,0.99949,0.77795,1.22683,0.66492,0.51056,0.5249,0.27798,2.29597,2.34217,2.6483,0.000455466,0.000455466,0.000455466
151,898.7,0.98133,0.75214,1.21333,0.70567,0.51701,0.53462,0.2728,2.32423,2.09606,2.63896,0.000451066,0.000451066,0.000451066
152,904.69,0.98028,0.76533,1.21058,0.68515,0.54558,0.54246,0.27814,2.4099,2.32761,2.69401,0.000446666,0.000446666,0.000446666
153,910.283,0.92971,0.7161,1.17463,0.66186,0.54503,0.53214,0.28144,2.33959,2.52995,2.63702,0.000442267,0.000442267,0.000442267
154,916.462,0.94553,0.72012,1.19984,0.49209,0.51056,0.50363,0.258,2.30248,2.72101,2.57578,0.000437867,0.000437867,0.000437867
155,921.706,0.94362,0.76953,1.18019,0.53006,0.51056,0.45134,0.24323,2.34729,2.53707,2.66055,0.000433468,0.000433468,0.000433468
156,927.853,0.94121,0.68552,1.15921,0.77717,0.43398,0.46168,0.248,2.33952,2.42817,2.68398,0.000429068,0.000429068,0.000429068
157,933.491,0.98266,0.73078,1.21097,0.66171,0.51056,0.49333,0.24636,2.40535,2.51516,2.76265,0.000424669,0.000424669,0.000424669
158,939.169,0.92541,0.6984,1.16703,0.67145,0.47685,0.47403,0.22788,2.4906,2.57789,2.77749,0.000420269,0.000420269,0.000420269
159,945.125,0.99873,0.77956,1.21033,0.64758,0.47191,0.47643,0.22828,2.56918,2.57699,2.9303,0.00041587,0.00041587,0.00041587
160,950.387,0.98223,0.7575,1.22388,0.67383,0.46988,0.47851,0.24643,2.43263,2.66102,2.75891,0.00041147,0.00041147,0.00041147
161,956.455,0.9912,0.81043,1.26081,0.70804,0.47234,0.48911,0.22699,2.44595,2.63169,2.71931,0.00040707,0.00040707,0.00040707
162,961.591,0.96431,0.72663,1.17944,0.62849,0.48446,0.47518,0.2334,2.38231,2.61283,2.64524,0.000402671,0.000402671,0.000402671
163,967.649,0.89762,0.69684,1.17698,0.65625,0.45807,0.48653,0.21705,2.37193,2.57276,2.6192,0.000398271,0.000398271,0.000398271
164,973.369,0.9589,0.73404,1.19879,0.51742,0.49857,0.46634,0.22746,2.44083,2.69901,2.67044,0.000393872,0.000393872,0.000393872
165,979.242,0.8959,0.69022,1.16038,0.62507,0.48269,0.48039,0.24474,2.40231,2.60441,2.65983,0.000389472,0.000389472,0.000389472
166,984.904,0.94236,0.71524,1.19258,0.60057,0.49365,0.4927,0.2466,2.34949,2.43284,2.69925,0.000385073,0.000385073,0.000385073
167,990.523,0.91822,0.70169,1.1708,0.47066,0.51235,0.47047,0.22975,2.46923,2.438,2.88262,0.000380673,0.000380673,0.000380673
168,996.165,0.9609,0.74746,1.19208,0.47788,0.55027,0.46915,0.23311,2.43403,2.57316,2.82713,0.000376273,0.000376273,0.000376273
169,1001.67,0.90471,0.64738,1.16015,0.54307,0.52124,0.49032,0.23439,2.34254,2.56716,2.75454,0.000371874,0.000371874,0.000371874
170,1007.85,0.91426,0.68389,1.15999,0.56414,0.5271,0.49575,0.22461,2.47224,2.56519,2.8139,0.000367474,0.000367474,0.000367474
171,1013.4,0.87074,0.66641,1.17405,0.62083,0.50567,0.50712,0.2311,2.35297,2.61193,2.67955,0.000363075,0.000363075,0.000363075
172,1019.46,0.90741,0.66921,1.16909,0.6,0.45054,0.49128,0.24655,2.3595,2.72361,2.70275,0.000358675,0.000358675,0.000358675
173,1024.9,0.88717,0.67786,1.16719,0.64404,0.4559,0.48284,0.25879,2.34524,2.63989,2.72202,0.000354276,0.000354276,0.000354276
174,1030.91,0.86756,0.66106,1.15612,0.63852,0.50825,0.47955,0.24258,2.39149,2.77111,2.74654,0.000349876,0.000349876,0.000349876
175,1036.82,0.91566,0.68711,1.1488,0.67923,0.49258,0.50822,0.22382,2.41797,2.88689,2.76898,0.000345477,0.000345477,0.000345477
176,1043,0.92622,0.71377,1.17952,0.62286,0.50782,0.50429,0.23004,2.4303,2.67515,2.85926,0.000341077,0.000341077,0.000341077
177,1048.69,0.92332,0.70048,1.16352,0.61039,0.54092,0.50656,0.23328,2.47413,2.53423,2.94274,0.000336677,0.000336677,0.000336677
178,1054.39,0.86161,0.69052,1.14456,0.64115,0.51523,0.47969,0.24789,2.50924,2.37049,2.92849,0.000332278,0.000332278,0.000332278
179,1060.29,0.88571,0.68028,1.1624,0.73631,0.47251,0.47216,0.2328,2.53952,2.48345,2.88302,0.000327878,0.000327878,0.000327878
